Acronym,Definition,Meaning,Department,Team/Area
SIL,Senior Intelligence Leader,,,
SILO,Schools Industry Liaison Officer,Source: The Knowledge accessed 2019-05-08,DfE,
SILR,Single Individual Learner Records,,DfE,
SIM,Service Incident and Management,,MoJ,
SIM (service),Service Integration Manager,,DfE,
SIMS,Schools Information Management Systems,,DfE,
SIN,Science and Innovation Network ,,BEIS,UK Vaccines Taskforce
SIO (civil service grade),Senior Information Officers,,DfE,
SIP (partners),School Improvement Partners,,DfE,
SIP (plan),School Improvement Plan,Source: The Knowledge accessed 2019-05-31,DfE,
SIP (programme),School Immersion Programme,"Programme for DfE staff, it involves a three day visit and gives participants the unique opportunity to gain experience of life in a school.",DfE,
SIPS,Social Inclusion Pupil Support,Source: The Knowledge accessed 2019-05-31,DfE,
SIR (Now superseded by IR),Security Information Report,Prison. A previous method of reporting intelligence information to the Security department via paper. Now superseded by IR (Intelligence Report) generally submitted electronically via the Mercury system,MoJ,
SIRB,Security Information Risk Board,,MoJ,
SIRO,Senior Information Risk Officer,,Civil Service Wide,"Digital, Infomation Management"
SIS,Skills Investment Strategy,,DfE,
SIT,Systems Integration Testing,,DfE,
SIVS,Strategically important and vulnerable subjects,"The SIVS advisory group was set up in January 2005 to identify strategically important and vulnerable subjects and the principles on which to base intervention. The group reconvened in 2012 to review the data and information relating to the sustainability of subjects, and to provide advice and recommendations to the HEFCE Board regarding the identification, monitoring and support for SIVS.Source: {HEFCE|http://www.hefce.ac.uk/kess/subjects/ag/} accessed 2016-07-22",DfE,
SKE,Subject Knowledge Enhancement,"Schools and Initial Teacher Training (ITT) providers who are allocated training places in mathematics, physics, computing, chemistry, languages or design and technology can request subject knowledge enhancement (SKE) funding to support their recruitment. SKE courses are designed to help applicants increase their subject knowledge so they can train to teach their chosen subject.Source: {GOV.UK|https://www.gov.uk/government/publications/subject-knowledge-enhancement-course-directory} accessed 2015-06-11",DfE,
SL,Senior Leaders,,DfE,
SLA,Service Level Agreement,,Civil Service Wide,Commercial
SLA (school),School Library Association,,DfE,
SLA (service),Service Level Agreements,,DfE,
SLAQ,Series Level Appraisal Questionnaire,,DfE,
SLASC,School Level Annual Schools Census,,DfE,
SLC,Student Loans Company,"The Student Loans Company (SLC) is a non-profit making Government-owned organisation set up in 1989 to provide loans and grants to students in universities and colleges in the UK. The company plays a central role in supporting the Higher Education (HE) and Further Education (FE) sectors by: making timely and accurate payments of maintenance grants and loans to learners; and ensuring timely and accurate payments of tuition fee loans to HE and FE providers. We do this by working with the Departments for Education (DfE, England), Education and Lifelong Learning (DELL, Scotland), Education and Skills (DfES, Wales) and the Department for the Economy (DfEcon, Northern Ireland). We also work with the Student Awards Agency for Scotland (SAAS), Higher and Further Education providers and other delivery partners.Source: {SLC website|https://www.slc.co.uk/about-us.aspx} accessed 2019-05-31",DfE,
SLCN,Speech language and communication needs,,DfE,
SLD,Severe learning difficulties,,DfE,
SLD,Station Led Development,,DLUHC,
SLDD,Special learning difficulties and disabilities,Source: The Knowledge accessed 2019-05-31,DfE,
SLE,Specialist Leaders of Education,,DfE,
SLED,Sentence and Licence Expiry Date,,MoJ,
SLG,School Lunch Grant,Source: The Knowledge accessed 2019-05-08,DfE,
SLICT,Strategic Leadership of ICT,"SLICT (Strategic Leadership of ICT) is a unique programme designed by head teachers for head teachers; it focuses on the strategic role of heads in leading and developing Information and Communications Technology (ICT). Developed in partnership by NCSL and BECTA, the programme engages school leaders in developing and implementing their vision for learning in their school.Source: The Knowledge accessed 2019-05-30",DfE,
SLN,Standard Learner Numbers,,DfE,
SLOC,Site Location Code,,,
SLP,Science Learning Partnerships,"Our Science Learning Partnerships (SLPs) combine local expertise in teaching and learning in science, facilitating CPD, and providing school-to-school support. They are led by local teaching school alliances, schools and colleges with excellence in science, higher education institutions, and other local partners with cutting-edge expertise in science.Source: {STEM Learning|https://www.stem.org.uk/science-learning-partnerships} accessed 2019-12-23",DfE,
SLP,Single Land Programme,,DLUHC,
SLS (leaders),Senior Leaders Scheme,,DfE,
SLS (libraries),School Library Service,Source: The Knowledge accessed 2019-05-30,DfE,
SLSD (departmental organisational unit),System Leadership and Strategy Directorate,Year(s) active (where known): 2019-,DfE,
SLSPOC,Service Line Single Point Of Contact,,,
SLT,Senior Leadership Team,,Civil Service Wide,
SLT ,Senior Leadership Team,,DLUHC,
SLT (senior),Senior Leadership Team,,DfE,
SLT (service),Service Leadership Team,,DfE,
SMART,"Specific, Measurable, Achievable, Realistic and Timed",,DfE,
SMC,Social Mobility Commission,"On 01 April 2021 the Social Mobility Commission (SMC) moved to the Cabinet Office's Equalities Hub. It had been an Arm's Length Body of the DfE since 2012. The department will continue to have a close relationship with the SMC, given the important role education plays in improving social mobility and securing good opportunities for all.Source: Intranet news 2021-03-30",DfE,
SME,SMALL MEDIUM ENTERPRISE,,Civil Service Wide,
SME,Subject Matter Expert,,Civil Service Wide,
SME,Small/Medium Enterprise,,Defra,Major Projects & Digital Delivery 
SME ,Small and Medium Enterprise,,DLUHC,
SME (enterprises),Small and medium sized enterprises,,DfE,
SME (experts),Subject Matter Experts,,DfE,
SMGB,Service Management Governance Board,,DfE,
SMP,Statutory Maternity Pay,,,
SMPC,Summary of Product Charatcerisation,,BEIS,UK Vaccines Taskforce
SMS,Small Message Service,,,
SMS (in the Hub),Supplier Management System,CWA (Contracted Work and Administration)'s Supplier (Legal Provider) data,MoJ,
SMSC,"Spiritual, moral, social and cultural development","All schools have a duty to actively promote the fundamental British values of democracy, the rule of law, individual liberty, and mutual respect and tolerance of those with different faiths and beliefs. This strengthened guidance is designed to tighten up the standards on pupil welfare to improve safeguarding, and the standards on spiritual, moral, social and cultural development of pupils to strengthen the barriers to extremism. Source: {GOV.UK|https://www.gov.uk/governmentews/guidance-on-promoting-british-values-in-schools-published} accessed 2015-06-11",DfE,
SMT,Senior Management Team,,Not Limited to CS,
SN,Special needs,,DfE,
SNA,Special Needs Assistant,Source: The Knowledge accessed 2019-05-31,DfE,
SNCC,Skills Funding Agency and National Apprenticeship Service Consultative Committee,,DfE,
SNCF,School nurseries capital fund,"The fund of nearly 24 million for 69 successful projects will help to create new high-quality school-based nursery places for 2-, 3- and 4-year-olds. The fund will help to deliver the governments commitment to build more school-based nurseries, and to boost social mobility.Source: {GOV.UK|https://www.gov.uk/government/publications/school-nurseries-capital-fund-list-of-application-outcomes} accessed 2020-04-07",DfE,
SNOW,Service Now,Contraction used by Prison staff,MoJ,
SNPQ,Specialist National Professional Qualifications,"Minister for School Standards Nick Gibb said (Tuesday 16 July [2019]): These new qualifications, backed by education experts, will provide recognition for those teachers who want to develop their skills and progress their careers. Our ambition is for teachers to be able to do so without having to pursue traditional leadership routes, instead expanding their expertise in vital areas such as curriculum or behaviour management. The expert panel draws on a range of experience from across the school system, including curriculum experts, current school leaders and leading academics. The group will play an essential role in helping to ensure all the qualifications are aligned in order to maximise the benefits for teachers. The professional qualifications will build on the landmark Early Career Framework, which is set to be backed by at least 130 million a year when fully rolled out. The framework is a two-year package of training and support at the start of a teachers career will include a reduced timetable to allow teachers to make the most of their training.Source: {GOV.UK|https://www.gov.uk/governmentewsew-qualifications-to-help-teachers-progress-their-careers} accessed 2019-10-22",DfE,
